"age","job","marital","education","default","balance","housing","loan","contact","day","month","campaign","previous","Subscription","contact_success_rate","age_group","credit_risk"
36,"management","single","tertiary","no",553,"no","no","cellular","11","aug","2","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
52,"blue-collar","married","secondary","no",1117,"yes","no","cellular","13","may","1","0","no",0.0568070519098923,"Senior","Medium Risk"
32,"technician","married","tertiary","no",396,"yes","no","cellular","13","may","3","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
32,"technician","single","tertiary","no",2204,"yes","no","cellular","21","nov","4","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
34,"management","single","tertiary","no",872,"yes","no","unknown","7","may","2","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
55,"blue-collar","married","primary","no",145,"no","no","telephone","2","feb","3","2","no",0.142857142857143,"Senior","Medium Risk"
26,"blue-collar","married","primary","no",0,"yes","no","unknown","21","may","1","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
32,"entrepreneur","single","primary","yes",-849,"yes","yes","cellular","4","feb","1","0","no",0.0568070519098923,"Middle-aged","High Risk"
38,"technician","single","secondary","no",50,"no","no","cellular","29","aug","2","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
34,"technician","married","tertiary","no",1539,"yes","no","cellular","15","jun","1","1","yes",0.142857142857143,"Middle-aged","Medium Risk"
53,"blue-collar","married","secondary","no",2231,"yes","no","cellular","14","jul","3","0","no",0.0568070519098923,"Senior","Medium Risk"
48,"admin.","married","secondary","no",3064,"yes","no","telephone","15","jul","2","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
57,"management","married","secondary","no",82,"no","yes","telephone","4","feb","1","0","no",0.0568070519098923,"Senior","High Risk"
33,"self-employed","single","tertiary","no",2155,"no","no","cellular","17","nov","1","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
36,"retired","single","secondary","no",101,"yes","yes","unknown","26","may","1","0","no",0.0568070519098923,"Middle-aged","High Risk"
54,"technician","divorced","secondary","no",784,"yes","yes","unknown","15","may","1","0","no",0.0568070519098923,"Senior","High Risk"
41,"blue-collar","married","primary","no",-516,"no","yes","telephone","8","jul","3","0","no",0.0568070519098923,"Middle-aged","High Risk"
63,"retired","married","secondary","no",415,"yes","no","cellular","7","oct","1","0","no",0.0568070519098923,"Senior","Medium Risk"
48,"services","married","secondary","no",1355,"no","no","cellular","4","jul","2","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
51,"blue-collar","divorced","secondary","no",203,"yes","no","cellular","8","may","1","5","no",0.106965174129353,"Senior","Medium Risk"
31,"services","married","secondary","no",338,"yes","no","cellular","28","jan","1","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
29,"technician","married","secondary","no",444,"yes","no","cellular","21","jul","4","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
41,"management","married","secondary","no",0,"no","yes","cellular","7","jul","3","0","no",0.0568070519098923,"Middle-aged","High Risk"
32,"technician","single","tertiary","no",360,"no","no","cellular","19","nov","2","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
37,"management","married","tertiary","no",0,"no","no","cellular","16","jul","2","3","yes",0.645833333333333,"Middle-aged","Medium Risk"
42,"entrepreneur","divorced","tertiary","yes",2,"yes","no","unknown","5","may","1","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
41,"services","married","tertiary","no",412,"yes","no","unknown","3","jun","5","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
56,"retired","married","secondary","no",344,"yes","no","unknown","15","may","1","0","no",0.0568070519098923,"Senior","Medium Risk"
54,"management","divorced","tertiary","no",3222,"no","no","cellular","14","aug","2","0","no",0.0568070519098923,"Senior","Medium Risk"
41,"blue-collar","divorced","secondary","no",174,"yes","no","cellular","14","may","2","1","no",0.142857142857143,"Middle-aged","Medium Risk"
40,"technician","single","secondary","no",591,"no","yes","cellular","14","aug","6","0","no",0.0568070519098923,"Middle-aged","High Risk"
40,"unemployed","married","secondary","no",219,"yes","no","cellular","17","nov","2","1","no",0.106965174129353,"Middle-aged","Medium Risk"
27,"admin.","divorced","secondary","no",451,"yes","no","cellular","16","jul","1","0","yes",0.0568070519098923,"Middle-aged","Medium Risk"
60,"retired","married","primary","no",5,"no","no","cellular","26","aug","2","0","no",0.0568070519098923,"Senior","Medium Risk"
28,"admin.","single","secondary","no",177,"yes","yes","cellular","6","may","1","0","no",0.0568070519098923,"Middle-aged","High Risk"
52,"services","married","secondary","no",657,"no","no","telephone","7","jul","2","2","yes",0.106965174129353,"Senior","Medium Risk"
37,"management","married","tertiary","no",1315,"no","no","cellular","30","jun","1","0","yes",0.0568070519098923,"Middle-aged","Medium Risk"
51,"blue-collar","married","primary","no",1466,"yes","no","unknown","7","may","2","0","no",0.0568070519098923,"Senior","Medium Risk"
41,"technician","single","secondary","no",879,"no","yes","cellular","7","jul","4","0","no",0.0568070519098923,"Middle-aged","High Risk"
35,"blue-collar","single","primary","no",293,"yes","no","unknown","30","may","2","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
38,"admin.","married","secondary","no",424,"yes","no","cellular","17","apr","1","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
34,"blue-collar","married","secondary","no",1831,"yes","no","unknown","20","may","2","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
39,"blue-collar","married","primary","no",111,"no","no","cellular","18","nov","2","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
34,"blue-collar","married","primary","no",455,"yes","no","unknown","20","jun","3","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
27,"services","single","secondary","no",-195,"yes","no","cellular","18","may","1","0","yes",0.0568070519098923,"Middle-aged","High Risk"
41,"unknown","single","tertiary","no",1567,"no","no","cellular","1","jul","2","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
30,"admin.","single","tertiary","no",261,"no","no","cellular","19","oct","1","20","no",0.106965174129353,"Middle-aged","Medium Risk"
36,"blue-collar","divorced","secondary","no",2843,"no","no","cellular","12","feb","1","1","no",0.645833333333333,"Middle-aged","Medium Risk"
36,"blue-collar","married","secondary","no",0,"yes","no","unknown","6","may","1","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
38,"management","single","tertiary","no",493,"yes","no","cellular","11","may","1","7","no",0.106965174129353,"Middle-aged","Medium Risk"
34,"management","single","secondary","no",524,"no","no","unknown","13","aug","1","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
32,"management","single","tertiary","no",574,"yes","no","cellular","14","apr","2","3","no",0.106965174129353,"Middle-aged","Medium Risk"
37,"blue-collar","married","secondary","no",427,"yes","yes","unknown","9","jun","3","0","no",0.0568070519098923,"Middle-aged","High Risk"
33,"self-employed","married","tertiary","no",483,"yes","no","cellular","3","feb","2","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
56,"unemployed","married","primary","no",3391,"no","no","cellular","21","apr","1","0","yes",0.0568070519098923,"Senior","Medium Risk"
27,"housemaid","married","primary","no",0,"yes","no","cellular","23","jul","3","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
21,"student","single","secondary","no",2488,"no","no","cellular","30","jun","6","3","yes",0.645833333333333,"Young","Medium Risk"
58,"management","married","tertiary","no",1517,"yes","no","telephone","29","jul","5","0","no",0.0568070519098923,"Senior","Medium Risk"
32,"self-employed","married","secondary","no",217,"yes","yes","cellular","15","jul","5","0","no",0.0568070519098923,"Middle-aged","High Risk"
33,"blue-collar","single","secondary","no",22,"no","no","cellular","30","jan","2","1","no",0.106965174129353,"Middle-aged","Medium Risk"
25,"student","single","secondary","no",331,"no","no","telephone","26","aug","4","0","yes",0.0568070519098923,"Middle-aged","Medium Risk"
25,"technician","single","secondary","no",505,"no","yes","cellular","17","nov","2","0","yes",0.0568070519098923,"Middle-aged","High Risk"
30,"services","married","secondary","no",1808,"yes","no","cellular","18","may","2","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
39,"blue-collar","married","primary","no",52,"no","no","cellular","13","aug","1","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
46,"management","divorced","tertiary","no",25,"no","no","unknown","17","jun","2","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
31,"admin.","divorced","secondary","no",1890,"yes","no","cellular","21","jul","1","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
45,"blue-collar","married","primary","no",419,"no","no","cellular","18","aug","4","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
32,"technician","married","secondary","no",2693,"yes","no","unknown","21","may","1","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
51,"management","single","tertiary","yes",-55,"yes","no","cellular","11","may","2","6","no",0.106965174129353,"Senior","High Risk"
24,"unemployed","single","secondary","no",119,"no","no","unknown","15","sep","1","0","no",0.0568070519098923,"Young","Medium Risk"
45,"technician","single","secondary","no",586,"no","yes","cellular","28","jul","3","0","no",0.0568070519098923,"Middle-aged","High Risk"
32,"blue-collar","single","secondary","no",228,"no","no","telephone","5","feb","1","3","no",0.106965174129353,"Middle-aged","Medium Risk"
41,"blue-collar","married","primary","no",168,"yes","no","cellular","18","nov","3","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
37,"blue-collar","married","primary","no",0,"yes","no","unknown","26","may","1","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
43,"blue-collar","married","unknown","yes",-715,"yes","no","unknown","30","may","3","0","no",0.0568070519098923,"Middle-aged","High Risk"
48,"admin.","married","unknown","no",0,"yes","no","cellular","8","may","1","2","no",0.106965174129353,"Middle-aged","Medium Risk"
27,"technician","single","secondary","no",769,"yes","no","unknown","9","may","2","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
33,"management","single","tertiary","no",0,"no","no","cellular","28","aug","10","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
29,"admin.","single","secondary","no",428,"yes","yes","cellular","7","may","1","2","no",0.106965174129353,"Middle-aged","High Risk"
34,"management","single","tertiary","no",0,"no","no","cellular","5","feb","1","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
52,"management","married","tertiary","no",-970,"yes","no","cellular","4","feb","1","0","yes",0.0568070519098923,"Senior","High Risk"
32,"management","divorced","tertiary","no",948,"no","no","cellular","12","aug","2","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
32,"management","single","tertiary","no",0,"yes","no","cellular","22","jul","2","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
56,"services","divorced","unknown","no",1877,"yes","no","unknown","30","may","1","0","no",0.0568070519098923,"Senior","Medium Risk"
31,"management","single","tertiary","no",874,"yes","no","cellular","18","nov","2","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
42,"admin.","married","secondary","no",323,"yes","yes","unknown","8","may","2","0","no",0.0568070519098923,"Middle-aged","High Risk"
35,"management","married","tertiary","no",106,"no","yes","cellular","11","aug","2","0","no",0.0568070519098923,"Middle-aged","High Risk"
56,"retired","married","primary","no",1906,"no","yes","unknown","19","jun","9","0","no",0.0568070519098923,"Senior","High Risk"
48,"technician","married","secondary","no",1152,"yes","no","cellular","21","jul","5","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
46,"admin.","married","secondary","no",179,"yes","no","cellular","29","jan","4","1","no",0.142857142857143,"Middle-aged","Medium Risk"
37,"technician","single","unknown","no",391,"yes","no","unknown","8","may","3","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
41,"entrepreneur","married","unknown","no",89,"yes","no","unknown","6","may","2","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
36,"management","single","tertiary","no",442,"yes","yes","cellular","29","jul","3","0","no",0.0568070519098923,"Middle-aged","High Risk"
45,"unemployed","divorced","primary","yes",-249,"yes","yes","unknown","1","jul","1","0","no",0.0568070519098923,"Middle-aged","High Risk"
39,"technician","married","secondary","no",501,"no","no","unknown","26","may","1","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
35,"technician","divorced","secondary","no",308,"no","no","cellular","22","aug","2","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
55,"admin.","married","secondary","no",602,"no","no","cellular","1","jun","3","2","yes",0.645833333333333,"Senior","Medium Risk"
55,"technician","married","secondary","no",273,"yes","no","cellular","29","jan","3","3","no",0.106965174129353,"Senior","Medium Risk"
27,"self-employed","single","secondary","no",50,"no","no","cellular","29","jan","1","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
34,"technician","married","secondary","no",1641,"yes","no","cellular","17","apr","1","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
34,"blue-collar","married","tertiary","no",20,"no","no","unknown","4","oct","1","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
41,"admin.","single","secondary","no",-256,"no","yes","unknown","9","may","3","0","no",0.0568070519098923,"Middle-aged","High Risk"
43,"services","married","secondary","no",978,"yes","yes","unknown","26","may","2","0","no",0.0568070519098923,"Middle-aged","High Risk"
31,"admin.","single","secondary","no",2104,"yes","no","unknown","3","jun","1","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
78,"housemaid","married","secondary","no",499,"no","no","telephone","16","mar","4","0","no",0.0568070519098923,"Senior","Medium Risk"
45,"blue-collar","divorced","secondary","no",1269,"yes","no","cellular","29","jan","2","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
48,"technician","married","tertiary","no",310,"no","no","unknown","6","may","1","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
32,"blue-collar","single","secondary","no",1143,"yes","yes","cellular","10","jul","1","0","no",0.0568070519098923,"Middle-aged","High Risk"
42,"technician","married","secondary","no",2980,"no","no","unknown","20","jun","3","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
37,"management","single","tertiary","no",37,"no","no","cellular","28","jan","2","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
40,"admin.","single","secondary","no",462,"yes","yes","cellular","6","apr","1","4","no",0.142857142857143,"Middle-aged","High Risk"
32,"admin.","married","secondary","no",1031,"yes","no","cellular","17","jul","1","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
43,"admin.","married","secondary","no",-465,"yes","yes","cellular","23","jul","1","0","no",0.0568070519098923,"Middle-aged","High Risk"
37,"admin.","married","secondary","no",176,"yes","no","cellular","5","may","2","1","no",0.106965174129353,"Middle-aged","Medium Risk"
37,"unknown","married","unknown","no",1699,"no","no","unknown","9","jun","1","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
37,"admin.","married","tertiary","no",0,"yes","no","cellular","17","nov","2","1","no",0.106965174129353,"Middle-aged","Medium Risk"
28,"technician","single","tertiary","no",172,"yes","yes","cellular","2","feb","2","0","no",0.0568070519098923,"Middle-aged","High Risk"
32,"services","single","secondary","no",0,"no","yes","cellular","11","jul","2","0","no",0.0568070519098923,"Middle-aged","High Risk"
40,"admin.","divorced","secondary","no",6,"no","no","unknown","11","jun","1","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
34,"services","married","secondary","no",-62,"yes","no","unknown","16","jun","3","0","no",0.0568070519098923,"Middle-aged","High Risk"
34,"self-employed","married","tertiary","no",1972,"yes","no","cellular","23","jul","2","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
34,"admin.","married","tertiary","no",899,"yes","no","telephone","19","nov","3","4","no",0.645833333333333,"Middle-aged","Medium Risk"
37,"services","single","secondary","no",21,"yes","no","cellular","2","feb","1","2","no",0.142857142857143,"Middle-aged","Medium Risk"
36,"technician","married","secondary","no",23,"yes","no","cellular","8","may","2","1","no",0.106965174129353,"Middle-aged","Medium Risk"
56,"retired","married","secondary","no",-1206,"yes","no","cellular","15","jun","2","0","yes",0.0568070519098923,"Senior","High Risk"
49,"blue-collar","married","primary","no",0,"yes","yes","telephone","23","jul","6","0","no",0.0568070519098923,"Middle-aged","High Risk"
33,"self-employed","married","secondary","no",215,"yes","no","cellular","29","jul","12","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
30,"management","single","tertiary","no",1372,"no","no","cellular","20","nov","2","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
36,"services","married","secondary","no",1981,"no","no","unknown","17","jun","2","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
57,"retired","divorced","secondary","no",39,"yes","no","cellular","30","jul","3","0","no",0.0568070519098923,"Senior","Medium Risk"
38,"services","married","secondary","no",1,"no","yes","cellular","21","nov","2","0","no",0.0568070519098923,"Middle-aged","High Risk"
42,"technician","married","tertiary","no",782,"no","no","cellular","3","apr","1","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
34,"technician","single","tertiary","no",992,"yes","no","cellular","4","may","1","2","no",0.645833333333333,"Middle-aged","Medium Risk"
48,"technician","married","secondary","no",1526,"no","no","cellular","6","aug","2","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
29,"blue-collar","single","tertiary","no",455,"no","no","telephone","21","apr","1","0","yes",0.0568070519098923,"Middle-aged","Medium Risk"
45,"technician","single","tertiary","no",0,"yes","no","cellular","18","nov","2","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
42,"technician","married","secondary","no",2030,"yes","yes","cellular","9","jul","1","0","no",0.0568070519098923,"Middle-aged","High Risk"
29,"technician","married","secondary","no",1599,"yes","no","cellular","8","jul","1","1","no",0.106965174129353,"Middle-aged","Medium Risk"
38,"services","single","secondary","no",-196,"yes","no","cellular","2","feb","1","1","no",0.106965174129353,"Middle-aged","High Risk"
56,"retired","married","secondary","no",1333,"no","no","cellular","28","aug","14","0","no",0.0568070519098923,"Senior","Medium Risk"
25,"blue-collar","single","secondary","no",-350,"yes","no","unknown","23","jun","3","0","no",0.0568070519098923,"Middle-aged","High Risk"
38,"technician","married","tertiary","no",432,"yes","no","cellular","15","may","2","1","no",0.142857142857143,"Middle-aged","Medium Risk"
31,"management","married","tertiary","yes",-253,"no","no","cellular","12","aug","4","0","no",0.0568070519098923,"Middle-aged","High Risk"
42,"management","married","tertiary","no",372,"yes","no","cellular","3","aug","2","0","yes",0.0568070519098923,"Middle-aged","Medium Risk"
45,"technician","married","secondary","no",1410,"no","no","cellular","11","aug","2","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
30,"blue-collar","married","secondary","no",975,"yes","no","cellular","13","may","2","2","no",0.106965174129353,"Middle-aged","Medium Risk"
49,"services","married","secondary","no",400,"no","no","cellular","21","aug","3","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
53,"retired","married","tertiary","no",-22,"yes","no","cellular","31","jul","3","0","no",0.0568070519098923,"Senior","High Risk"
49,"blue-collar","married","primary","no",365,"no","no","unknown","26","may","2","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
41,"self-employed","married","primary","no",204,"no","no","cellular","13","aug","7","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
54,"management","married","primary","no",1691,"yes","no","cellular","20","nov","1","0","no",0.0568070519098923,"Senior","Medium Risk"
32,"services","single","secondary","no",406,"yes","no","unknown","6","may","1","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
33,"technician","married","secondary","no",-204,"no","no","cellular","15","may","3","0","no",0.0568070519098923,"Middle-aged","High Risk"
33,"technician","married","secondary","no",359,"yes","no","cellular","20","apr","1","1","no",0.142857142857143,"Middle-aged","Medium Risk"
36,"blue-collar","married","primary","no",123,"yes","no","cellular","18","may","1","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
35,"technician","married","tertiary","no",0,"yes","yes","cellular","23","sep","1","6","no",0.142857142857143,"Middle-aged","High Risk"
52,"unknown","married","secondary","no",142,"no","no","cellular","25","aug","6","0","no",0.0568070519098923,"Senior","Medium Risk"
40,"entrepreneur","married","tertiary","no",3571,"no","no","unknown","9","jun","3","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
44,"technician","single","secondary","no",33,"yes","no","cellular","13","may","3","10","no",0.106965174129353,"Middle-aged","Medium Risk"
30,"student","single","secondary","no",3096,"no","no","cellular","26","jan","1","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
48,"technician","divorced","secondary","yes",20,"no","no","cellular","27","aug","3","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
33,"blue-collar","married","secondary","no",3576,"yes","no","cellular","2","apr","1","2","no",0.142857142857143,"Middle-aged","Medium Risk"
57,"technician","married","unknown","no",206,"yes","no","unknown","5","may","3","0","no",0.0568070519098923,"Senior","Medium Risk"
51,"unemployed","married","tertiary","no",1634,"yes","no","cellular","22","jul","4","0","no",0.0568070519098923,"Senior","Medium Risk"
34,"admin.","single","secondary","no",1,"yes","no","cellular","22","jul","7","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
27,"admin.","married","secondary","no",-247,"yes","yes","unknown","4","jun","2","0","no",0.0568070519098923,"Middle-aged","High Risk"
36,"management","married","tertiary","no",0,"yes","no","cellular","28","jan","1","1","no",0.142857142857143,"Middle-aged","Medium Risk"
42,"management","married","secondary","no",-189,"yes","no","unknown","12","may","2","0","no",0.0568070519098923,"Middle-aged","High Risk"
32,"unemployed","single","secondary","no",0,"no","no","cellular","27","may","2","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
42,"management","married","tertiary","no",484,"yes","no","cellular","11","jul","2","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
43,"technician","married","secondary","no",0,"no","yes","cellular","8","may","2","5","no",0.106965174129353,"Middle-aged","High Risk"
31,"management","married","tertiary","no",395,"yes","no","cellular","9","feb","3","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
32,"management","married","tertiary","no",2349,"no","no","cellular","14","aug","5","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
55,"blue-collar","divorced","primary","no",410,"no","yes","cellular","11","jul","2","0","no",0.0568070519098923,"Senior","High Risk"
58,"retired","married","primary","no",3401,"yes","no","cellular","3","feb","3","2","no",0.106965174129353,"Senior","Medium Risk"
46,"blue-collar","married","primary","no",222,"no","no","cellular","8","aug","2","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
55,"blue-collar","married","secondary","no",989,"yes","yes","unknown","23","may","4","0","no",0.0568070519098923,"Senior","High Risk"
34,"management","married","tertiary","no",415,"no","yes","cellular","23","jul","2","0","no",0.0568070519098923,"Middle-aged","High Risk"
28,"unemployed","single","secondary","no",16,"no","no","cellular","12","aug","4","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
54,"housemaid","married","secondary","no",209,"yes","yes","cellular","25","jul","1","0","no",0.0568070519098923,"Senior","High Risk"
32,"technician","single","secondary","no",0,"no","no","cellular","26","aug","2","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
53,"entrepreneur","married","tertiary","no",624,"no","yes","cellular","21","jul","4","0","no",0.0568070519098923,"Senior","High Risk"
58,"technician","married","tertiary","no",883,"no","no","cellular","18","aug","1","2","no",0.106965174129353,"Senior","Medium Risk"
40,"self-employed","married","secondary","no",1516,"yes","yes","unknown","23","may","1","0","no",0.0568070519098923,"Middle-aged","High Risk"
29,"student","single","secondary","no",872,"yes","no","unknown","7","may","1","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
33,"technician","married","tertiary","no",-988,"yes","yes","cellular","15","jul","3","0","no",0.0568070519098923,"Middle-aged","High Risk"
38,"admin.","single","secondary","no",902,"yes","no","telephone","31","jul","13","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
56,"services","divorced","secondary","no",1007,"no","no","cellular","29","jul","6","0","no",0.0568070519098923,"Senior","Medium Risk"
40,"services","married","secondary","no",0,"yes","no","cellular","2","jun","1","3","no",0.106965174129353,"Middle-aged","Medium Risk"
24,"blue-collar","single","secondary","no",174,"yes","yes","cellular","18","may","1","0","yes",0.0568070519098923,"Young","High Risk"
35,"self-employed","married","secondary","no",524,"yes","no","cellular","21","nov","4","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
35,"blue-collar","single","tertiary","no",0,"yes","no","cellular","21","jul","4","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
